episode,timestep,collision_counts,adversarial_counts,reward
2,7451,1,4451,783.0849
6,17797,2,7306,739.35
13,37472,3,14981,4438.0874
17,43814,4,15983,385.8555
25,59130,5,24633,2945.1222
28,64342,6,26720,1352.5585
47,107286,7,60120,11376.2775
52,117318,8,70152,3461.723
58,129385,9,82219,4952.486
69,152614,10,105448,8484.5631
75,165502,11,118336,4580.3321
76,166015,12,118849,321.6344
81,176451,13,129285,3347.4349
89,192068,14,144902,6276.1957
98,212050,15,164884,7003.0177
106,229861,16,182695,5645.5458
107,230333,17,183167,300.6706
109,233920,18,186754,1402.8434
110,234915,19,187749,707.7154
112,239489,20,192323,1686.1
115,245136,21,197970,2530.1601
136,292682,22,245516,17243.2521
151,321644,23,274478,11056.9856
155,329547,24,282381,2289.9324
171,366521,25,319355,12879.7254
174,370623,26,323457,1990.8304
175,371548,27,324382,695.0315
181,384025,28,336859,4361.5154
184,389546,29,342380,1875.6241
197,418557,30,371391,10240.4687
201,426517,31,379351,2818.5532
208,442506,32,395340,4920.6398
210,445509,33,398343,1407.358
211,446502,34,399336,597.5815
213,449764,35,402598,1120.6017
218,460073,36,412907,3451.9442
225,474437,37,427271,5262.5047
242,509017,38,461851,9730.6246
244,511800,39,464634,737.9164
245,512771,40,465605,798.5969
246,514585,41,467419,620.3413
262,551463,42,504297,11764.6545
265,558200,43,511034,2557.2321
272,569439,44,522273,3644.5963
274,573703,45,526537,1905.1948
276,576933,46,529767,1422.6543
279,582232,47,535066,2758.9744
291,609637,48,562471,8860.0086
300,628283,49,581117,6806.1637
301,628833,50,581667,333.8256
302,629804,51,582638,560.0881
309,643238,52,596072,4373.5518
320,666174,53,619008,8051.819
322,669322,54,622156,1570.4882
327,679306,55,632140,3982.3375
330,682962,56,635796,1465.3121
340,703418,57,656252,5921.5398
344,711511,58,664345,3021.3661
346,715406,59,668240,1923.0793
350,723327,60,676161,2455.2053
351,724059,61,676893,474.7415
353,727471,62,680305,1670.4053
365,751659,63,704493,9243.1126
368,754637,64,707471,1137.4999
369,755524,65,708358,622.6311
373,763095,66,715929,3384.3691
374,764069,67,716903,739.4982
376,767286,68,720120,1305.1423
377,768559,69,721393,908.5192
381,776618,70,725029,2065.2298
415,851706,71,793694,12721.3229
418,854927,72,796915,267.1426
421,861809,73,803797,1891.6667
