episode,timestep,reward,if_collision,collision_rate,adversarial_counts,epsilon,av_speed_avg,av_total_risk_avg,av_distance,av_running_time,av_acc_avg,av_dece_avg,av_left_avg,av_right_avg
0,3000,-8374.3437,0,0.0,0,1.0,2.677511933461618,0.5862432699074236,803.1549098602825,360.1,2.9990003332222592,0.0,0.08933333333333333,0.09433333333333334
1,6000,0,0,0.0,3000,1.0,1.5150220345128886,0.30189707489651574,454.4169666499761,360.1,2.9990003332222592,0.0,0.09366666666666666,0.08
2,7451,0,1,0.3333333333333333,4451,0.09475653192162359,2.2194985913054754,0.1075012353777227,322.06484907011816,205.2,2.9979338842975207,0.0,0.07787732598208132,0.0833907649896623
3,10451,-8818.3433,0,0.25,4451,0.1386059271772797,1.2935956153210004,0.30869075438649685,387.84956128306413,360.1,2.9990003332222592,0.0,0.092,0.08866666666666667
4,13451,-8792.1938,0,0.2,4451,0.18025029154247252,1.3735886369838273,0.3199850734786083,412.0788417177383,360.1,2.9990003332222592,0.0,0.08766666666666667,0.08633333333333333
5,14942,-3953.0763,1,0.16666666666666666,4451,0.2198044890058034,3.800436451113041,0.25095532058824693,567.0165022775255,209.2,2.99798927613941,0.0,0.0892018779342723,0.10731052984574112
6,17797,0,1,0.2857142857142857,7306,0.11696428889905663,2.069567925232247,0.3205007110129697,591.0285649480328,345.6,2.9989495798319328,0.0,0.09772329246935202,0.06900175131348511
7,20797,-8399.9746,0,0.25,7306,0.1386059271772797,2.3801800583977464,0.5351850752883719,714.2695516400721,360.1,2.9990003332222592,0.0,0.099,0.097
8,23797,-8378.3592,0,0.2222222222222222,7306,0.1596964100549082,2.4671805304793364,0.4112507906551896,740.3796274382927,360.1,2.9990003332222592,0.0,0.09733333333333333,0.08833333333333333
9,26797,-5807.7575,0,0.2,7306,0.18025029154247252,9.703908069411437,0.43437831713256014,2910.8026418400277,360.1,2.9990003332222592,0.0,0.113,0.10766666666666666
10,29797,-4207.7386,0,0.18181818181818182,7306,0.20028172792805454,14.72623932112579,0.46441264998171733,4415.7929064731,360.1,2.9990003332222592,0.0,0.13366666666666666,0.09733333333333333
11,32797,0,0,0.16666666666666666,10306,0.2198044890058034,5.595872829275542,0.6977774270539916,1679.165622189363,360.1,2.9990003332222592,0.0,0.07133333333333333,0.06
12,35797,0,0,0.15384615384615385,13306,0.23883196897745795,5.635012393292287,0.775110254099704,1690.7568183577469,360.1,2.9990003332222592,0.0,0.061,0.06266666666666666
13,37472,0,1,0.21428571428571427,14981,0.16660661911046215,5.048868491674215,0.3883958811438308,845.5145796865082,227.6,2.9982100238663483,0.0,0.06746268656716418,0.06567164179104477
14,40069,-1544.7206,0,0.2,14981,0.18025029154247252,26.933324343990275,0.6671609295945765,6994.442765563994,319.8,2.9988448209472467,-1.4233732338382348,0.17635733538698498,0.11782826338082403
15,40886,-1339.9388,0,0.1875,14981,0.19366177410313234,12.177421842179001,0.5187062230135706,992.8137780021074,141.8,2.996328029375765,-0.5129925628686038,0.11260709914320685,0.12729498164014688
16,42812,-1833.2793,1,0.17647058823529413,14981,0.20684516536528574,25.89716801563903,0.6569909941047445,4986.915435975416,252.7,2.9984431759211208,0.0,0.15316718587746625,0.09501557632398754
17,43814,0,1,0.2222222222222222,15983,0.1596964100549082,24.029752109076995,0.35379414540516957,2406.4324287210447,160.3,2.997008973080758,0.0,0.07085828343313373,0.05588822355289421
18,44595,-755.9167,1,0.21052631578947367,15983,0.17003953201602862,22.310751390586578,0.6131268192224795,1740.664648879822,138.2,2.99616368286445,0.0,0.07170294494238157,0.088348271446863
19,47018,122.5867,0,0.2,15983,0.18025029154247252,28.859179855775594,0.6616435545504111,6992.703428213279,302.4,2.9987618654560464,-1.7183690792184145,0.1712752785802724,0.09781262897234833
20,47833,-855.9842,1,0.19047619047619047,15983,0.19033044583175007,17.18790681337312,0.23721418549095816,1398.9304816755578,141.6,2.9963235294117645,0.0,0.0687116564417178,0.07975460122699386
21,50480,391.3816,0,0.18181818181818182,15983,0.20028172792805454,26.422244401946028,0.3682164553383388,6993.259006667076,324.8,2.9986977779049266,0.0,0.09255761239138648,0.11824707215715904
